FHS.GIFT.Coffee.Season.UL.Body,"Get ready to fiesta with an extra special 4 hours of Unlimited Lives"
FHS.GIFT.FT.Booster.Bundle.Body,"Here is a little gift to get you ready for the tournament. You must be level 34 or above to be eligible to play the event"
FHS.GIFT.FTBT.GT.Gold.Body,"Congratulations! You won a Golden Ticket to qualify for the Grand Final of the Bountiful Tournament"
FHS.GIFT.FTBT.Title,"Farm Tournament Bountiful"
FHS.GIFT.FTBT.Winner.ChampionBody,"Here are your monthly Gold Bars for winning Farm Tournament Bountiful!"
FHS.GIFT.FTBT.Winner.Top.5.Body,"Here are your monthly Gold Bars, for finishing in the Top 5 of Farm Tournament Bountiful!"
FHS.GIFT.FTPH.Button,"Claim Rewards!"
FHS.GIFT.FTPH.Consolation.Body,"Congratulations on making it to the Grand Final. Here is a consolation reward"
FHS.GIFT.FTPH.First.Place.Body,"Here are your monthly Gold Bars for winning Farm Tournament Potato Hunt!"
FHS.GIFT.FTPH.GT.Gold.Body,"Congratulations! You won a Golden Ticket to qualify for the Grand Final of the Farm Tournament Potato Hunt"
FHS.GIFT.FTPH.Second.Fifth.Place.Body,"Here are your monthly Gold Bars, for finishing in the Top 5 of Farm Tournament Potato Hunt!"
FHS.GIFT.FTPH.Sixth.Tenth.Place.Body,"Congratulations on finishing in the Top 10! Here are your Gold Bars"
FHS.GIFT.FTPH.Title.01,"Farm Tournament"
FHS.GIFT.FTPH.Title.02,"Potato Hunt Tournament"
FHS.GIFT.FTS.Booster.Bundle.Body,"Here is a little gift to get you ready for the Farm Tournament Soccer. You must be level 34 or above to play."
FHS.GIFT.FTS.Title,"Farm Tournament Soccer"
FHS.GIFT.FTS.Winner.Top.5.Body,"Here are your monthly Gold Bars, for finishing in the Top 5 of Farm Tournament Soccer!"
FHS.Gift.New.Superfruit.Body,"Super Fruit now collects more cropsies and affects blockers. That’s super powerful! Try it free for the next 24 hours."
FHS.Gift.New.Superfruit.Button,"Let's go"
FHS.Unlimitedlives.NYE22.Body,"To celebrate the new year in style, enjoy an extra special 4 hours of unlimited lives. Fireworks will go off!"
FHS.Unlimitedlives.NYE22.Button,Claim
FHS.Unlimitedlives.NYE22.Title,"Unlimited Lives"
ccs.JBPartnership23.GiftFixed.IGP.Body,"Отпразднуй новый альбом с 30 минутами цветных бомб – это подарок от группы!"
ccs.JBPartnership23.GiftFixed.IGP.Button,Получить
ccs.JBPartnership23.GiftFixed.IGP.Title,"Тебе подарок"
ccs.JulySeason23.EpisodeRace.Rewards.IGP.Button,Получить
ccs.JulySeason23.EpisodeRace.Rewards.IGP.Title,"Ты получаешь слитки!"
ccs.JulySeason23.EpisodeRace.Rewards1.IGP.Body,"Поздравляем! Ты получаешь 80 слитков за 1-е место! Наслаждайся выигрышем!"
ccs.JulySeason23.EpisodeRace.Rewards2.IGP.Body,"Поздравляем! Ты получаешь 20 слитков за 2-е место! Наслаждайся выигрышем!"
ccs.JulySeason23.EpisodeRace.Rewards3.IGP.Body,"Поздравляем! Ты получаешь 10 слитков за 3-е место! Наслаждайся выигрышем!"
ccs.PoG.Oct23.Rewards.Tier1.Body,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: 1,041,245. Твоя доля слитков: 19."
ccs.PoG.Oct23.Rewards.Tier2.Body,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: 1,041,245. Твоя доля слитков: 19 + еще 15."
ccs.PoG.Oct23.Rewards.Tier3.Body,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: 1,041,245. Твоя доля слитков: 19 + еще 60."
ccs.PoG.Summer23.Rewards.Tire1.Body,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: 1,412,689. Твоя доля слитков: 15."
ccs.PoG.Summer23.Rewards.Tire2.Body_copy,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: 1,412,689. Твоя доля слитков: 15 + еще 10."
ccs.PoG.Summer23.Rewards.Tire3.Body,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: 1,412,689. Твоя доля слитков: 15 + еще 40."
ccs.PoGSpring23.Gift.Body.Case2,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: [amount]. Твоя доля слитков: [amount]."
ccs.PoGSpring23.Gift.Body.Case3,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: [amount]. Твоя доля слитков: [amount]."
ccs.PoGSpring23.Gift.Body.Case3.50Additional,"Поздравляем! Ты получаешь золотые слитки из горшочка. Всего победителей: 3,754,351. Твоя доля слитков: 16 + еще 50."
ccs.PoGSpring23.Gift.Title,Победа!
