leagues_button_revenge,"Взять реванш"
leagues_conjure_amulets_lost,"Ты теряешь:"
leagues_conjure_first_onboarding_charge,"Заполни шкалу чуда"
leagues_conjure_first_onboarding_complete,"Пройди {0} ур."
leagues_conjure_first_onboarding_send,"Отправь чудо"
leagues_conjure_first_onboarding_text,"Чтобы отправить чудо, пройди {0} уровня."
leagues_conjure_first_onboarding_title,Чудеса
leagues_conjure_no_amulets_text,"Твое чудо не лишит их амулетов."
leagues_conjure_no_amulets_title,"У соперников 0 амулетов"
leagues_conjure_onboarding_revenge,"Тебе прислали чудеса. Отыграйся, пройдя следующий уровень с 1-й попытки!"
leagues_conjure_popup_noconnection_text,"Без подключения к сети ты не можешь брать реванш или отправлять чудеса."
leagues_conjure_random_title,"Отправляем чудо игроку..."
leagues_conjure_receive_revenge,"Взяли у тебя реванш"
leagues_conjure_received_text,"Тебе прислали чудеса:"
leagues_conjure_received_title,"Получены чудеса"
leagues_conjure_reminder,"Не забывай отправлять чудеса!"
leagues_conjure_second_onboarding_text,"Нажми кнопку «Колдовать», чтобы лишить соперника амулета."
leagues_conjure_second_onboarding_title,"Отправить чудо"
leagues_conjure_swipe_text,"Пройди уровень, пытаясь взять реванш у пользователя {0}"
leagues_information_chapter,"Заверши главу"
leagues_information_hardlevel,"Пройди сложный или сверхсложный уровень"
leagues_information_level,"Пройди уровень"
leagues_information_stars,"Получи на уровне 3 звезды"
leagues_information_subtitle_amulets,"Как заработать амулеты"
leagues_information_subtitle_rewards,"Типы наград в лигах"
leagues_information_title,Информация
leagues_name_arcane,"Лига тайн"
leagues_name_astral,"Лига астрала"
leagues_name_broomstick,"Лига метлы"
leagues_name_cauldron,"Лига котелка"
leagues_name_moon,"Лига луны"
leagues_popup_competition_end_title,"Конец соревнования"
leagues_popup_demotion_description,"Ты переходишь в лигу ниже! 
Твое место: {0}"
leagues_popup_intro_description,"Прогрессируй в лигах, чтобы стать лучшим волшебником или лучшей ведьмой! Тебя ждут волшебные награды!"
leagues_popup_intro_title,"Колдовские игры"
leagues_popup_noconnection_description,"Чтобы участвовать в Колдовских играх, нужно подключиться к интернету."
leagues_popup_noconnection_season_end,"Чтобы узнать результаты соревнования, нужно подключиться к интернету."
leagues_popup_noconnection_title,"Нет подключения!"
leagues_popup_notpromoted_description,"Ты остаешься в той же лиге. 
Твое место: {0}"
leagues_popup_onboarding_description,"Проходи уровни, получай амулеты и повышай свой ранг."
leagues_popup_promotion_description,"Ты переходишь в лигу выше! 
Твое место: {0}"
leagues_popup_searching_description,"Идет поиск игроков для нового соревнования. Когда оно начнется, мы сообщим."
leagues_popup_searching_title,"Идет поиск игроков"
leagues_popup_season_start_description,"Колдовские игры возобновляются! Готовь палочку к новому соревнованию!"
leagues_popup_tap_continue,"Коснись и продолжи"
leagues_ranking_button_level,"Уровень {0}"
leagues_ranking_competition_end,"Игры завершились!"
leagues_ranking_complete_chapter,"Глава пройдена!"
leagues_ranking_complete_episode,"Пройден сверхсложный уровень!"
leagues_ranking_complete_hardlevel,"Пройден сложный уровень!"
leagues_ranking_complete_level,"Пройден уровень!"
leagues_ranking_complete_stars,"У тебя 3 звезды за уровень!"
leagues_ranking_complete_superhardlevel,"Пройден сверхсложный уровень!"
leagues_ranking_finished,Готово
leagues_ranking_info,"Войди в пятерку лучших, чтобы перейти в следующую лигу!"
leagues_ranking_info2,"Закончив в последней пятерке, ты вернешься в предыдущую лигу."
leagues_ranking_info_last,"Войди в тройку лучших, чтобы получить лучшие награды!"
leagues_ranking_noconnection,"Нет подключения к интернету! Подключись, чтобы обновить ранг."
leagues_revenge_reminder,"Выйдешь — упустишь шанс отомстить!"
leagues_revenge_reminder_button_exit,Выйти
leagues_revenge_reminder_button_stay,Остаться
