ads_SDK_personalized_ads,"Компания King использует ваши данные для персонализации рекламы, чтобы вы могли получать награды во время игры. Эта функция позволит показывать вам более подходящую рекламу в этой и других играх King."
notification_bob_push_demoted,"Кто-то тебя обошел и забрал первую позицию! Скорее верни себе победу, пока соревнование не закончилось!"
notification_bob_push_finish,"Соревнование окончено. Самое время узнать результаты!"
notification_bob_push_start,"Игроки найдены! Соревнование началось."
notification_fairyrace_push_fewrewards,"Первый приз уже кто-то получил. Поспеши заработать свой, пока всё не расхватали!"
notification_fairyrace_push_new,"Началась новая гонка фей. Поспеши к финишу и выиграй замечательные призы!"
notification_house_party_text,"Enjoy the Fairy Fiesta at {0}'s home!"
notification_house_party_title,"New Fairy Fiesta!"
notification_house_piece_finished_text,"Это так волшебно!🏠 Возвращайся и посмотри, как выглядит мой дом. Стелла
"
notification_house_piece_finished_text2,"Мне нравится, что тебе удалось сделать с этим местом!🏡 Загляни, посмотришь, что у меня дома нового. Стелла"
notification_house_piece_finished_text2_name,"Мне нравится, что тебе удалось сделать с этим местом, {0}!🏡 Загляни, посмотришь, что у меня дома нового. Стелла"
notification_house_piece_finished_text3,"🏡 Мой дом выглядит отлично. Приходи — увидишь! Стелла"
notification_house_piece_finished_text3_name,"🏡 Мой дом выглядит отлично, {0}. Приходи — увидишь! Стелла"
notification_house_piece_finished_text_name,"Это так волшебно, {0}!🏠 Возвращайся и посмотри, как выглядит мой дом. Стелла"
notification_house_piece_finished_title,"Область готова!"
notification_lives_refill_generic_v1,"💖 Все твои жизни восстановлены! "
notification_lives_refill_generic_v2,"💞 Я вернула тебе все жизни! Стелла"
notification_lives_refill_generic_v3,"😻 У тебя снова все 5 жизней! Стелла   "
notification_lives_refill_personalised_v1,"💖 {0}, все твои жизни восстановлены! "
notification_lives_refill_personalised_v2,"💞{0}, я вернула тебе все жизни! Стелла"
notification_lives_refill_personalised_v3,"😻 {0}, у тебя снова все 5 жизней! Стелла"
notification_magic_duel_change,"{0} выходит вперед! Получи больше звезд, чтобы выиграть дуэль!"
notification_magic_duel_losing,"Времени мало! Получи больше звезд и выиграй волшебную дуэль!"
notification_magic_duel_lost,"Дуэль окончена. Посмотри результаты!"
notification_magic_duel_start,"Тебя вызвали на магическую дуэль! Получай звезды и выиграй награды!"
notification_magic_duel_wc_change,"{0} выходит вперед! Получи больше звезд, чтобы выиграть дуэль!🌬️💫"
notification_magic_duel_wc_losing,"Ты ступаешь по тонкому льду и теряешь лидерство. Получи больше звезд, чтобы выиграть.🌟"
notification_magic_duel_wc_lost,"Зимняя дуэль окончена! Посмотри результаты!"
notification_magic_duel_wc_start,"Тебя вызвали на зимнюю дуэль! ❄️Получай звезды и выиграй награды!☃️"
notification_magic_duel_wc_winning,"Продолжай в том же духе, время не остановить, как и зимнюю дуэль!⏳❄️"
notification_magic_duel_wc_won,"❄️Победа за тобой! Приходи и забери призы!"
