PRS.GIFT.10thBirthday.Body.D03,"Pet's 10th birthday! Here's a gift from us to you"
PRS.GIFT.10thBirthday.Body.D04,"Pet's 10th birthday! Well done on completing all the birthday quests. Here's a doubled gift from us to you "
PRS.GIFT.10thBirthday.Title.D03,"10th Anniversary"
PRS.GIFT.10thBirthday.Title.D04,"10th Anniversary"
PRS.GIFT.PH.New.Installs.Body,"Here is a little gift to get you ready for Halloween Petopia! You must be level 25 or above to be eligible to play the event."
PRS.GIFT.Summer.Petopia.Claim.Button,"Claim "
PRS.GIFT.Summer.Petopia.New.Installs.Body,"Here is a little gift to get you ready for Summer Petopia. You must be level 25 or above to be eligible to play the event"
PRS.GIFT.Summer.Petopia.New.Installs.Title,"Booster Pack"
PRS.Reactivation.IGP.Button,Claim
PRS.Reactivation.IGP.Main,"It's good to have you back. Enjoy your Purrfect Goodies!"
PRS.Reactivation.IGP.Title,"Welcome Back"
