WSP_takeover_Button,"Смотреть рекламу"
WSP_takeover_Case1_Heading,"Бесплатный золотой слиток!"
WSP_takeover_Case2_Heading,"Бесплатный помощник!"
WSP_takeover_Case2_text,"Посмотри рекламу и начни следующий уровень со случайным помощником."
WSP_takeover_Case3_Heading,"Бесплатная сфера!"
WSP_takeover_Case3_text,"Посмотри рекламу и начни следующий уровень со сферой"
WSP_takeover_Case4_Heading,"Бесплатные ходы!"
WSP_takeover_Case4_text,"Посмотри рекламу и начни следующий уровень с дополнительными ходами"
WSP_takeover_explaination_text,"Чтобы получить награду, посмотри рекламу."
WSP_takeover_title,"Уровень пройден!"
WSP_winscreen_no_internet_text,"Нет подключения к интернету. Золотой слиток будет добавлен, как только подключение восстановится."
WSP_winscreen_reward_text,"Приз получен"
avm_egp_extra_bubbles,"Посмотри рекламу и получи больше шариков"
avm_egpwa_extra_bubbles,"Шарики получены"
avm_egpwa_extra_bubbles_title,"Дополнительные шарики"
avm_prelevel_double_spells,"Посмотри рекламу и начни уровень с ДВОЙНЫМИ заклинаниями!"
avm_prelevel_extra_spells_title,"Заклинания даром!"
avm_prelevel_triple_spells,"Посмотри рекламу и начни уровень с ТРОЙНЫМИ заклинаниями!"
bottom_bar_lock_notification,"Продолжай играть, чтобы открыть"
btmbar_feature_notify_castle,Замок
btmbar_feature_notify_seasons,Сезоны
cali_law_compliance,"При покупке или приобретении этого цифрового товара вы получаете лицензию на его использование. См. здесь Условия использования King."
egp_n_animation_text,"Добавлены дополнительные шарики"
egp_n_limited_offer,"Временная акция!"
egp_n_text,Бонус
library_buttons_quit,Выйти
library_buttons_rate,Оценить
library_errors_forgotten_user_dialog_GDPR,"Мы получили запрос на удаление этой учетной записи. Для выполнения запроса удалите эту игру и все остальные игры King. Если у вас возникли вопросы, пишите нам на адрес queries@support.king.com."
library_forceupdate_bodycopy,"Обнови приложение и получи все новые замечательные функции!
Не пропусти!"
library_forceupdate_button,Обновить
library_forceupdate_title,"Доступна новая версия"
magic_star_special_text,"ВОЛШЕБНАЯ ЗВЕЗДА!"
magic_stars_combo_title,"Волшебная комбинация!"
magic_stars_tooltip,"Волшебная звезда"
magic_stars_without_combo_desc,"Ты получаешь звезды!"
magic_stars_without_combo_title,"Уровень пройден!"
medal_collaborative_win_desc,"Выигрывай призы в командных испытаниях."
medal_collaborative_win_title,"Командный игрок!"
medal_free_the_ghost_desc,"Освобождай привидений на уровнях."
medal_free_the_ghost_title,"Призрачное воссоединение"
medal_hard_superhard_levels_desc,"Выиграй 3 звезды на сложных или сверхсложных уровнях."
medal_hard_superhard_levels_title,Испытатель!
medal_play_adventure_desc,"Выигрывай звезды в приключениях."
medal_play_adventure_title,"Праздничный приключенец!"
medal_upgrade_castle_desc,"Размести предметы в домике Стеллы или на бобовом стебле."
medal_upgrade_castle_title,"Архитектор замка!"
medal_use_cats_desc,"Активируй звездных кошек перед началом уровня."
medal_use_cats_title,"Замурчательные компаньоны!"
pop_bob_noConnection_description,"Для участия в соревновании нужно быть в сети."
popup_add_friends_button,"Добавь друзей"
popup_add_friends_castle,"Добавь
друзей"
popup_ads_booster_header,"Заклинание — даром"
popup_ads_booster_header_retry,"Нужна помощь?"
popup_ads_booster_info,"Смотри рекламу и начни уровень с БЕСПЛАТНЫМ заклинанием!"
popup_ads_booster_info_retry,"Смотри рекламу и начни этот уровень сначала с БЕСПЛАТНЫМ заклинанием!"
popup_ads_egp_info,"Смотри рекламу и получай ходы ДАРОМ!"
popup_ads_ftm_error,Ошибка
