runes_existing_popover_power1,"Ты уже знаешь о силе сферы!"
runes_green_cat_message,"Только сила сферы!"
runes_hintMoreEffect_power2,"Чем больше фей выпустишь, тем сильнее эффект"
runes_hintStoreFairies_power2,"Переставляй шарики, чтобы запасаться феями"
runes_info_power1_description,"Заряжай сферу взрывными шариками. Когда она наполнится — ее сила высвободится!"
runes_info_power2_description,"На каждом ходе создается по фее-помощнице. Когда нужно — выпусти их!"
runes_info_power3_description,"Двуцветные заряды образуют комбинации с шариками обоих цветов и расширяют выбор!"
runes_info_title,"Описание сил"
runes_new_popover_power1,"Испытай силу сферы!"
runes_popover_power2,"А теперь испытай силу шарика фей!"
runes_popover_power3,"А теперь испытай силу двуцветного шарика!"
runes_power1_button,Сфера
runes_power1_description,"Открыта сила сферы!"
runes_power2_button,"Шарик фей"
runes_power3_button,Двуцвет
runes_prelevel_text,"Выберите, как играть"
runes_tutorialCreateFairy_power2,"На каждом ходу создается по фее-помощнице"
runes_tutorialShootFairy_power2,"Чтобы выпустить фею, стреляй"
runes_tutorial_power3,"Двуцветные шарики сочетаются с обоими цветами"
runes_tutorial_shoot_fairy_2,"Переставляй шарики, чтобы освободить фей!"
runes_unlock_power2_description,"Сила открыта! На следующем уровне примени шарик фей."
runes_unlock_power3_description,"Сила открыта! На следующем уровне примени двуцветный шарик."
runes_welcome_description,"У Стеллы есть различные силы на выбор. Продолжай играть, чтобы открыть их все!"
runes_welcome_title,"Силы готовы!"
