adv04_dialogue_title_????,???
library_generic_loading,Loading
saga_chapters_levels,Levels
saga_dialogue_character_fairy,Fairy
saga_dialogue_character_fairy_queen,Queen
saga_dialogue_character_leila,Leila
saga_dialogue_character_lucy,Lucy
saga_dialogue_character_morgana,Morgana
saga_dialogue_character_nero,Nero
saga_dialogue_character_stella,Stella
saga_dialogue_character_tricksies,Tricksies
saga_dialogue_character_wilbur,Wilbur
saga_ep10_end_dialogue_1,"Poor Wilbur! Something is forcing him to do things he is not ready to do!"
saga_ep10_end_dialogue_2,"How many lives does he have left?"
saga_ep10_start_dialogue_1,"There he goes again! WHAT is he trying to summon?"
saga_ep10_start_dialogue_2,"Who cares? Let's enjoy the comedy show!"
saga_ep11_start_dialogue_1,"At least he left the Queen behind!"
saga_ep11_start_dialogue_2,"If there's a cat license, his should be revoked."
saga_ep12_start_dialogue_1,"Nero, what can we learn from that?"
saga_ep12_start_dialogue_2,"Eat your veggies, or the veggies will eat you!"
saga_ep13_start_dialogue_1,"Now he'll be even easier to follow!"
saga_ep13_start_dialogue_2,"Nice! One more time! Can we pick another color?"
saga_ep14_start_dialogue_1,"No wonder he got expelled from the spy academy!"
saga_ep14_start_dialogue_2,"Hahah! Enough fooling buddy... let's follow the tracks!"
saga_ep15_end_dialogue_1,"That certainly backfired!"
saga_ep15_end_dialogue_2,"His spell failed again, but each time he's getting closer and closer!"
saga_ep16_start_dialogue_1,"If I were the King of this jungle, would you be my Queen?"
saga_ep16_start_dialogue_2,"I'm nobody's Queen, daydreamer! Let's burst some bubbles!"
saga_ep17_start_dialogue_1,"Hahah! It's so funny how some cats go crazy with moving lights!"
saga_ep17_start_dialogue_2,MUST-CATCH-RED-DOT-NOW
saga_ep17_start_dialogue_3,[...]
saga_ep18_start_dialogue_1,"Shiver me timbers! A piraty pirate ship!"
saga_ep18_start_dialogue_2,"Aye, matey! Chaaaaaarge!"
saga_ep19_start_dialogue_1,"Stars! Constellations! We're but tiny specks in the Universe..."
saga_ep19_start_dialogue_2,"Keep eating like that and you'll develop your own gravity field!"
saga_ep20_start_dialogue_1,"There he is again... Complete that summoning once and for all!"
saga_ep20_start_dialogue_2,"Wait! Don't you see a familiar silhouette in the sky?"
saga_ep21_start_dialogue_1,"Underwater!? This is the closest to having a bath that I have ever been."
saga_ep21_start_dialogue_2,"Now that you mention it..."
saga_ep22_start_dialogue_1,"What a pompous feline family!"
saga_ep22_start_dialogue_2,"Shhh! I'm trying to find my portrait!"
saga_ep23_start_dialogue_1,"So you think it's the Fairy Queen who's been pestering Wilbur?"
saga_ep23_start_dialogue_2,"It certainly feels like her sense of humor!"
saga_ep24_start_dialogue_1,"Music! Shall we dance?"
saga_ep24_start_dialogue_2,"To the tune of my bubble-popping wand!"
saga_ep26_middle_dialogue_1,"The summoning should have failed by now!"
saga_ep26_middle_dialogue_2,"Quick, Stella! This time I cannot stop him!"
saga_ep26_morgana_dialogue_1,"Good witches beware, Morgana is back! And I'm more powerful than ever! MWAHAHA!"
saga_ep26_morgana_dialogue_2,"It was you who bewitched Wilbur! You needed the Fairy Queen's magic to come back!"
saga_ep26_morgana_dialogue_3,"Yes! Dumb cat, but useful! Now watch me cast darkness all over Witch Country!"
saga_ep26_start_dialogue_1,"His spell is stronger than ever! I have a very bad feeling!"
saga_ep26_start_dialogue_2,"His failure will be more epic than ever, too!"
saga_ep26_team1_dialogue_1,"Please Stella, let me help you defeat her! Now I can do magic too!"
saga_ep26_team1_dialogue_2,"No! Don't trust him!"
saga_ep26_team2_dialogue_1,"No time for rivalries! We must be united to defeat Morgana!"
saga_ep26_team2_dialogue_2,"Well spoken! Team Light, let's stop Morgana's darkness!"
saga_ep3_end_dialogue_1,"Why has Wilbur become evil? Why kidnap the Fairy Queen?"
saga_ep3_end_dialogue_2,"Why do these portals smell so funny?"
saga_ep3_start_dialogue_1,"He's sleeping like a log! No! Make that a HOG!"
saga_ep3_start_dialogue_2,"Shhh! Let's take the Queen and duck out!"
saga_ep49_middle_dialogue_1,"MWAHAHA! Why are you flying so slow? The show starts soon!"
saga_ep49_middle_dialogue_2,"Want to talk about a show? How about the one where we defeated you!"
saga_ep49_morgana_dialogue_1,"Ladies and cats, it's show time!"
saga_ep49_morgana_dialogue_2,"Er... What are you up to now?"
saga_ep49_morgana_dialogue_3,"MWAHAHA! Just wait, I’m gonna steal the show!"
saga_ep49_start_dialogue_1,"Something strange is happening inside of me. Something bad..."
saga_ep49_start_dialogue_2,"Haha! I think you've got a hairball, dude!"
saga_ep4_end_dialogue_1,"I have an eerie feeling! My feline instincts say something is about to happen..."
saga_ep4_end_dialogue_2,"Yes, I can feel it too! Stay alert!"
saga_ep4_start_dialogue_1,"Oh no, wrong place! No trace of him here!"
saga_ep4_start_dialogue_2,"An aspiring magician should know things are never what they seem..."
saga_ep50_middle_dialogue_1,"Tricksies! What are you doing here?"
saga_ep50_middle_dialogue_2,"Uhhh iaiaia yummy yummy!"
saga_ep50_middle_dialogue_3,"Really, you were absorbed by a big hat while you were looking for candies?"
saga_ep50_middle_dialogue_4,"Ia! eh eh eh. Boom boom!"
saga_ep50_middle_dialogue_5,"Haha! Ok, come with us and let's see how you can help us."
saga_ep50_start_dialogue_1,"Morgana! Where are we?"
saga_ep50_start_dialogue_2,"At Kaleidoscopia! Where you trapped me."
saga_ep50_start_dialogue_3,"And we're here because...?"
saga_ep50_start_dialogue_4,"I have business elsewhere… Catch me if you want to know the truth! MWAHAHA!"
saga_ep50_start_dialogue_5,"Dream on, Morgana. We'll catch you and be out of here in no time!"
saga_ep5_climax_dialogue_1,"We didn't arrive in time! It's too late! Hold back!"
saga_ep5_climax_dialogue_2,"AFÁL NATHRRRR, ORTH' BHÁIS'S BETHAD, DOODLE-DOO DÉNMHA!"
saga_ep5_end_dialogue_1,"Hahah! BRA-VO! ENCORE! ENCORE!"
saga_ep5_end_dialogue_2,"He is not powerful enough ... yet "
saga_ep5_start_dialogue_1,"He's casting a very dark summoning spell! We have to stop him!"
saga_ep5_start_dialogue_2,"Yes! We, no, I, no, YOU first!"
saga_ep6_end_dialogue_1,"Stella! Lovely to see you! I've just 'flambéed' a cake, want some?"
saga_ep6_end_dialogue_2,"Leila, ever so kind! We can't stay, but please come visit my new home soon!"
saga_ep6_end_dialogue_3,"Will do! Wish you a beautiful journey! Why is your friend so scared?"
saga_ep6_start_dialogue_1,"There are no dragons here anymore - right?"
saga_ep6_start_dialogue_2,"Only one way to know! Let's go!"
saga_ep7_end_dialogue_1,"You are very brave! Worry not, we will stop Wilbur and rescue the Queen!"
saga_ep7_end_dialogue_2,"Thank you Stella! The Queen is OK, I saw her laughing at Wilbur!"
saga_ep7_start_dialogue_1,"That brave fairy will keep Wilbur busy for a while!"
saga_ep7_start_dialogue_2,"Now I can say I survived confronting a dragon... without lying!"
saga_ep7_start_dialogue_3,"My dear apprentice, you are the bravest! Now let's go, quick!"
saga_ep8_end_dialogue_1,"There must be a way to open a cat's mouth... what could it be? Nero?"
saga_ep8_end_dialogue_2,"(screaming) ANCHOVIES!!"
saga_ep8_end_dialogue_3,"No, seriously, try to think ... WAIT WHAT?"
saga_ep8_start_dialogue_1,"Are you worried about the Fairy Queen?"
saga_ep8_start_dialogue_2,"She'll be fine, she's immortal! I'm more concerned about poor Wilbur..."
saga_ep9_start_dialogue_1,"NO! NOOOOO!"
saga_ep9_start_dialogue_2,"Don't be fooled, this is another of his tricks!"
saga_ep9_start_dialogue_3,"I really hope so. Let's get there as soon as possible!"
saga_episode_name_mystery,???
saga_hud_lives_full,Full
saga_hud_sale_available,SALE!
saga_hud_shop,Shop
saga_main_screen_button_play,Play
saga_main_screen_button_play_with_friends,"Play with Friends"
saga_onboarding_cutscene01_fairy01,"Stella! Wilbur kidnapped the Fairy Queen!"
saga_onboarding_cutscene01_stella01,"What? Wilbur!?? Leave it to me!"
saga_onboarding_cutscene02_fairy01,"Please! Bring our Queen back, we will help you with your home!"
saga_onboarding_cutscene02_stella01,"The Queen is kidnapped, and my home is destroyed. Could this be any worse!?"
saga_onboarding_cutscene02_stella02,"First things first! I'll bring her back!"
saga_onboarding_explain_house_unlock,"We'll have your new home ready by Level {0}!"
saga_onboarding_house_unlocked,"Already here? Well done! Come see your new home!"
saga_onboarding_starbar_hint_soclose,"You're doing great! Your new home is almost ready!"
saga_onboarding_starbar_hint_tap,"Keep earning stars to get your new home!"
saga_onboarding_starbar_tut01,"Earn more stars to get a new home!"
saga_save_photo_extra_info,"To save your achievements"
saga_swipe_navigation_banner,"Chapter {0}"
