adv0_tutoast_tapcast,"Tap to cast spell"
ios_system_camera_permission_body,"Access is needed for Augmented Reality (AR) gameplay."
library_buttons_ar,AR
overlay_ar_dodge_tutorial,"Move your device to dodge"
overlay_ar_finding_floor,"Point your device at the floor and move it slowly"
overlay_ar_lost_floor_player_direction_unknown,"Look for the magic circle!"
overlay_ar_lost_floor_player_looking_down,"Look up with your device"
overlay_ar_standup_tutorial,"You can stand up and move around to play"
overlay_ar_tap_portal,"Tap to start!"
popup_ar_camera_permission_body,"To play AR Spell Battle, King needs your permission to use the device rear camera for gameplay only."
popup_ar_camera_permission_title,"Permission for play"
popup_ar_camera_permission_waiting,"Camera access needed to play..."
popup_ar_out_of_space_body,"To play AR Battle, you need more free space on your device. You can delete other apps from Settings > General > Storage."
popup_ar_out_of_space_title,"AR Battle is coming"
popup_ar_round_intro_body,"Tap the screen to shoot spells"
popup_ar_round_intro_title,"Battle Wilbur"
popup_ar_settings_button_reposition,Re-position
popup_ar_settings_title,Settings
popup_ar_show_score_best,"High score"
popup_ar_show_score_title,"Time up - battle over!"
popup_ar_unlock_again_body,"We hope you enjoyed AR Battle! To unlock it again, reach the end of an episode. Unlocks last for 48 hours."
popup_ar_unlock_again_title,"To battle again!"
popup_ar_welcome_body,"You can battle Wilbur in Augmented Reality! Dodge and duel against your feline nemesis!"
popup_ar_welcome_confirm,"Let's battle!"
popup_ar_welcome_title,"AR Spell Battle"
